tkpi_code,name,energi_kal,protein_g,lemak_g,karbo_g,serat_g
AP001,Nasi,180,3,0.3,39.8,0.2
AP005,Nasi beras merah,149,2.8,0.4,32.5,0.3
FR005,"Ayam, daging",298,18.2,25.0,0,0
GP020,Ikan mujahir,416,46.9,23.9,0,0
CP083,Tempe pasar,336,20.0,28.0,7.8,3.4
CP062,Tahu goreng,115,9.7,8.5,2.5,0.1
HP001,"Telur ayam, dadar, masakan",251,16.3,19.4,1.4,0
DR100,"Kangkung, segar",28,3.4,0.7,3.9,2.0
ER074,"Pisang ambon, segar",108,1.0,0.8,24.3,1.9
ER054,"Mangga, segar",52,0.7,0,12.3,1.6
AP009,Nasi jagung,357,8.8,0.5,79.5,6.2
AP024,Roti putih,248,8.0,1.2,50.0,9.1
ER001,"Alpukat, segar",85,0.9,6.5,7.7,0
AP085,Mie ayam,102,6.2,3.9,10.5,0
BP045,Kerupuk udang,477,4.7,4.7,68.5,5.0
