epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.9126,0.89442,1.94302,1.25447,0.68277,0.70898,0.77026,0.59913,0.82069,1.35967,1.33579,0.000276747,0.000276747,0.000276747
2,149.41,0.84443,1.1326,1.19948,0.79857,0.78268,0.82841,0.64628,0.82076,1.10295,1.3493,0.000543437,0.000543437,0.000543437
3,214.742,0.82951,0.93414,1.18235,0.72563,0.71034,0.74458,0.57336,1.04052,1.27246,1.77652,0.00079913,0.00079913,0.00079913
4,276.541,0.82156,0.84612,1.18533,0.83237,0.82132,0.85821,0.66169,0.85756,0.82258,1.36133,0.00078352,0.00078352,0.00078352
5,339.997,0.79532,0.76002,1.16527,0.81725,0.84243,0.86998,0.68947,0.79776,0.76738,1.28816,0.000767026,0.000767026,0.000767026
6,406.681,0.77079,0.71092,1.15538,0.81985,0.82602,0.88269,0.72029,0.77052,0.78625,1.29417,0.000750533,0.000750533,0.000750533
7,502.879,0.7584,0.68686,1.14512,0.85572,0.83485,0.88383,0.71293,0.75792,0.73983,1.28262,0.00073404,0.00073404,0.00073404
8,592.081,0.73075,0.64253,1.12699,0.8521,0.88758,0.91075,0.73417,0.75223,0.67645,1.27513,0.000717546,0.000717546,0.000717546
9,672.776,0.72036,0.61556,1.12222,0.85118,0.86211,0.88555,0.72069,0.72711,0.67028,1.2409,0.000701053,0.000701053,0.000701053
10,767.607,0.70703,0.58891,1.11365,0.8408,0.88264,0.89304,0.72804,0.74774,0.64211,1.27517,0.000684559,0.000684559,0.000684559
11,864.831,0.68282,0.56905,1.10187,0.87919,0.88378,0.91017,0.75934,0.68997,0.58724,1.22774,0.000668066,0.000668066,0.000668066
12,950.601,0.68689,0.56195,1.10076,0.91079,0.86527,0.92119,0.76037,0.709,0.57706,1.22105,0.000651573,0.000651573,0.000651573
13,1043.7,0.67838,0.555,1.09742,0.86686,0.88352,0.91066,0.75732,0.68502,0.57589,1.20571,0.000635079,0.000635079,0.000635079
14,1139.62,0.66456,0.53095,1.09002,0.90148,0.91093,0.93941,0.77211,0.68874,0.54309,1.21559,0.000618586,0.000618586,0.000618586
15,1237.46,0.66067,0.52331,1.08086,0.88223,0.92831,0.93517,0.78329,0.6576,0.50295,1.17556,0.000602092,0.000602092,0.000602092
16,1341.26,0.64232,0.51166,1.07324,0.91224,0.88769,0.93302,0.77403,0.67075,0.51196,1.20551,0.000585599,0.000585599,0.000585599
17,1438.39,0.63455,0.50284,1.06874,0.912,0.89844,0.93025,0.77043,0.65481,0.51436,1.19136,0.000569106,0.000569106,0.000569106
18,1539.66,0.62621,0.49171,1.06607,0.90313,0.89845,0.93,0.77763,0.65047,0.5137,1.20461,0.000552612,0.000552612,0.000552612
19,1641.29,0.62782,0.4855,1.06555,0.89313,0.8997,0.91332,0.78295,0.62849,0.50578,1.17012,0.000536119,0.000536119,0.000536119
20,1741.04,0.61676,0.47412,1.05579,0.94388,0.89969,0.94779,0.79888,0.61748,0.46364,1.15448,0.000519625,0.000519625,0.000519625
21,1835.15,0.61367,0.46875,1.05862,0.88839,0.90184,0.92643,0.78473,0.64675,0.48994,1.17294,0.000503132,0.000503132,0.000503132
22,1934.64,0.60245,0.46295,1.04868,0.90249,0.9336,0.94851,0.80372,0.61123,0.46354,1.1412,0.000486639,0.000486639,0.000486639
23,2039.48,0.59386,0.45518,1.04438,0.89653,0.90866,0.93068,0.80366,0.59672,0.46925,1.13923,0.000470145,0.000470145,0.000470145
24,2137.49,0.59201,0.44517,1.04309,0.89868,0.93415,0.93557,0.79847,0.60756,0.47262,1.15089,0.000453652,0.000453652,0.000453652
25,2245.58,0.58813,0.43741,1.04331,0.88099,0.91179,0.9327,0.80167,0.60208,0.4515,1.13339,0.000437158,0.000437158,0.000437158
26,2340.37,0.58599,0.43387,1.04463,0.91322,0.89553,0.92961,0.80315,0.60289,0.44946,1.14261,0.000420665,0.000420665,0.000420665
27,2432.35,0.57658,0.42241,1.03763,0.90932,0.92993,0.93436,0.80857,0.5831,0.43261,1.12359,0.000404172,0.000404172,0.000404172
28,2524.25,0.56947,0.41769,1.0316,0.89374,0.93474,0.93196,0.8077,0.6011,0.45632,1.13566,0.000387678,0.000387678,0.000387678
29,2616.2,0.57554,0.42954,1.03486,0.91536,0.91403,0.93592,0.81451,0.58065,0.44171,1.11462,0.000371185,0.000371185,0.000371185
30,2702.12,0.55824,0.41499,1.02928,0.93128,0.93105,0.95018,0.82315,0.57247,0.41075,1.12329,0.000354691,0.000354691,0.000354691
31,2782.43,0.56575,0.41746,1.03366,0.93024,0.91221,0.94046,0.8134,0.58347,0.44159,1.12699,0.000338198,0.000338198,0.000338198
32,2856.99,0.54886,0.40748,1.02191,0.927,0.92989,0.94766,0.82079,0.56307,0.40701,1.10352,0.000321705,0.000321705,0.000321705
