epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.06118,2.78794,5.02601,3.09363,0,0,0,0,3.91308,5.36178,4.66971,0,0,0
2,2.14062,3.37418,4.69053,3.31479,0,0,0,0,3.89117,5.42318,4.66962,6.99863e-06,6.99863e-06,6.99863e-06
3,3.19236,3.58934,5.18101,3.83198,0,0,0,0,3.89117,5.42318,4.66962,1.37145e-05,1.37145e-05,1.37145e-05
4,4.37524,2.50482,4.29017,2.64297,0,0,0,0,3.85372,5.67271,4.5367,2.01477e-05,2.01477e-05,2.01477e-05
5,5.45939,2.90233,4.23456,3.25419,0,0,0,0,3.85372,5.67271,4.5367,2.6298e-05,2.6298e-05,2.6298e-05
6,6.4554,2.63996,3.92596,2.52151,0,0,0,0,3.85372,5.67271,4.5367,3.21657e-05,3.21657e-05,3.21657e-05
7,7.52523,3.12529,4.04481,2.97857,0,0,0,0,3.88092,5.87244,4.42082,3.77506e-05,3.77506e-05,3.77506e-05
8,8.54468,2.9013,4.49074,2.89452,0,0,0,0,3.88092,5.87244,4.42082,4.30528e-05,4.30528e-05,4.30528e-05
9,9.58443,2.31834,4.21232,2.53886,0,0,0,0,3.88092,5.87244,4.42082,4.80722e-05,4.80722e-05,4.80722e-05
10,10.9706,3.2695,4.53146,3.39639,0,0,0,0,3.88092,5.87244,4.42082,5.28089e-05,5.28089e-05,5.28089e-05
11,12.9349,2.71686,4.1164,3.20045,0,0,0,0,3.88366,5.63026,4.3651,5.72628e-05,5.72628e-05,5.72628e-05
12,14.7223,2.62819,4.24075,2.91476,0,0,0,0,3.88366,5.63026,4.3651,6.1434e-05,6.1434e-05,6.1434e-05
13,16.569,2.25205,4.35109,2.64862,0,0,0,0,3.88366,5.63026,4.3651,6.53224e-05,6.53224e-05,6.53224e-05
14,18.2084,2.94035,4.00764,2.53464,0,0,0,0,3.88366,5.63026,4.3651,6.89281e-05,6.89281e-05,6.89281e-05
15,19.8451,3.13136,4.59134,2.82648,0,0,0,0,3.88366,5.63026,4.3651,7.22511e-05,7.22511e-05,7.22511e-05
16,21.5169,2.75305,4.85527,2.69587,0,0,0,0,3.88366,5.63026,4.3651,7.52913e-05,7.52913e-05,7.52913e-05
17,23.3136,2.57178,4.22603,2.72482,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,7.80488e-05,7.80488e-05,7.80488e-05
18,24.9246,2.46079,4.54076,2.49882,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.05235e-05,8.05235e-05,8.05235e-05
19,26.627,2.58923,4.21084,2.794,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.27155e-05,8.27155e-05,8.27155e-05
20,28.1702,2.6511,4.37034,2.95438,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.46247e-05,8.46247e-05,8.46247e-05
21,29.7858,2.88975,4.27988,3.09496,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.62512e-05,8.62512e-05,8.62512e-05
22,31.4241,2.47767,4.24802,2.40172,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.75949e-05,8.75949e-05,8.75949e-05
23,33.0244,2.6383,4.49393,2.57169,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.8656e-05,8.8656e-05,8.8656e-05
24,34.7803,3.13457,4.34616,2.9995,0.00314,0.33333,0.00448,0.00045,3.78991,5.56299,4.34617,8.94342e-05,8.94342e-05,8.94342e-05
25,36.4972,3.01065,4.44425,2.93112,0.00321,0.33333,0.00488,0.00119,3.88243,5.57501,4.59046,8.99297e-05,8.99297e-05,8.99297e-05
26,38.03,2.87512,4.94416,2.8248,0.00321,0.33333,0.00488,0.00119,3.88243,5.57501,4.59046,9.01425e-05,9.01425e-05,9.01425e-05
27,39.769,2.75093,4.37331,2.71965,0.00321,0.33333,0.00488,0.00119,3.88243,5.57501,4.59046,9.00725e-05,9.00725e-05,9.00725e-05
